Items to Restock:
ItemID: 9d62c20b6e1e53ef1d2c11c655e65dbd71ca0b7e78b066e4d0d431d21bdd8213, Warehouse: FRANKFURT I, Current Stock Level: 5, Restock Threshold: 46
ItemID: 2c2cc863a93441519be026113290dd638600c9d3375a76edd899fefcae4ef55c, Warehouse: HANNOVER II, Current Stock Level: 1, Restock Threshold: 26
ItemID: 1e2fe028a01f2b36a8089495447d26a7aa30132cbe879fccdb44e2210c4e3188, Warehouse: HANNOVER I, Current Stock Level: 10, Restock Threshold: 33
ItemID: 3eeeed58d8291cb3b43f6d5b0de09b54a92ef5d238166a5ea2fc20f0f34f803a, Warehouse: FRANKFURT I, Current Stock Level: 10, Restock Threshold: 30
ItemID: 9bf8f22963e18ff0358b44b9aa2f00379d179b0dddf948316f71506becb3ae97, Warehouse: HAMBURG I, Current Stock Level: 4, Restock Threshold: 27
ItemID: f90829d6e6c9a9ecba55b012deea24d235962e4f8619fd812154712c1b1665f7, Warehouse: HANNOVER I, Current Stock Level: 10, Restock Threshold: 16
ItemID: cdc9898501e074ad630e3f0083a4e4ce94a7cec554269c3b70558045df086073, Warehouse: HAMBURG I, Current Stock Level: 7, Restock Threshold: 8
ItemID: 2a181896102951e2088da90f6396ae1afbfd23618cfabc40006cf54fca78d636, Warehouse: HANNOVER I, Current Stock Level: 5, Restock Threshold: 18
ItemID: 3eeeed58d8291cb3b43f6d5b0de09b54a92ef5d238166a5ea2fc20f0f34f803a, Warehouse: HANNOVER II, Current Stock Level: 7, Restock Threshold: 30
ItemID: 0f0f2fc806a28d057c44144f78282a7b64ae71f4b8d7f49cb8dc094fe16495ac, Warehouse: HAMBURG I, Current Stock Level: 3, Restock Threshold: 15
ItemID: 171105fb5e44a7887cb8010c2e5a1a6f4e5faf1f0feddd153888dbb17e2aa425, Warehouse: FRANKFURT I, Current Stock Level: 6, Restock Threshold: 29
ItemID: 9587f922fc8624c1f2d6fae385e4c86e9f656065f6a4d9457ae41b39a4917a55, Warehouse: DUISBURG I, Current Stock Level: 1, Restock Threshold: 41
ItemID: 4f4400ed5fc22086f2223f53d962c9e879a1b360100d01d37ab0d05f12f43b70, Warehouse: HANNOVER I, Current Stock Level: 4, Restock Threshold: 38
ItemID: 1333ed7e26d032bba73df9e978c6d09429e569427779121df666116811c34341, Warehouse: HANNOVER I, Current Stock Level: 0, Restock Threshold: 33
ItemID: 1c7de0a39c949961f02b1fe4b7af43b3ca8e125b16352a3848e481c0439ae19a, Warehouse: HANNOVER I, Current Stock Level: 5, Restock Threshold: 29
ItemID: 2a181896102951e2088da90f6396ae1afbfd23618cfabc40006cf54fca78d636, Warehouse: DUISBURG I, Current Stock Level: 2, Restock Threshold: 18
ItemID: 6f784d355f621f716a61045b9e6ed9b5e8fafd61bd81dc7cec91d81e85f34be0, Warehouse: DUISBURG I, Current Stock Level: 10, Restock Threshold: 16
ItemID: 8089d3edeb7208edf9e24a0fd0d86f605ca5094042b56505a75b5f69d1b37e74, Warehouse: FRANKFURT I, Current Stock Level: 10, Restock Threshold: 31
ItemID: 9587f922fc8624c1f2d6fae385e4c86e9f656065f6a4d9457ae41b39a4917a55, Warehouse: HANNOVER II, Current Stock Level: 15, Restock Threshold: 41
ItemID: c54efe86cef9582b13cc14097cf375ede47c358d10d52392ab00f17444fa0ceb, Warehouse: HANNOVER II, Current Stock Level: 1, Restock Threshold: 43
ItemID: db4407671a639ba287c312d09183a7f9fe61a6383e31e8ee645c070878ea270f, Warehouse: HAMBURG I, Current Stock Level: 5, Restock Threshold: 41
ItemID: 1836e0a5d8ad0802da8f377005ab1db71ec3fcdc374f14b21a8c0f523709d6a8, Warehouse: HANNOVER I, Current Stock Level: 3, Restock Threshold: 38
ItemID: 3eeeed58d8291cb3b43f6d5b0de09b54a92ef5d238166a5ea2fc20f0f34f803a, Warehouse: BERLIN I, Current Stock Level: 10, Restock Threshold: 30
ItemID: 9d62c20b6e1e53ef1d2c11c655e65dbd71ca0b7e78b066e4d0d431d21bdd8213, Warehouse: HANNOVER II, Current Stock Level: 18, Restock Threshold: 46
ItemID: 4f20a6ba2716106730fdc7bb4fed9a6841beaeb3ed48bdcc9ffb0f1fae0a2f6c, Warehouse: FRANKFURT I, Current Stock Level: 4, Restock Threshold: 15
ItemID: 4fd9f0c82d4aba3eaafedf64f326558ad21eff02cd7eaf3b647afaff6a1e18e3, Warehouse: BERLIN I, Current Stock Level: 3, Restock Threshold: 21
ItemID: 7b8137346387a8e71dbcd36dcb7df50f77a5256b8b2915c61d7f3609076b243e, Warehouse: HANNOVER I, Current Stock Level: 5, Restock Threshold: 19
ItemID: 3eeeed58d8291cb3b43f6d5b0de09b54a92ef5d238166a5ea2fc20f0f34f803a, Warehouse: DUISBURG I, Current Stock Level: 8, Restock Threshold: 30
ItemID: 2c2cc863a93441519be026113290dd638600c9d3375a76edd899fefcae4ef55c, Warehouse: DUISBURG I, Current Stock Level: 11, Restock Threshold: 26
ItemID: 2a181896102951e2088da90f6396ae1afbfd23618cfabc40006cf54fca78d636, Warehouse: HANNOVER I, Current Stock Level: 11, Restock Threshold: 18
ItemID: 9bf8f22963e18ff0358b44b9aa2f00379d179b0dddf948316f71506becb3ae97, Warehouse: BERLIN I, Current Stock Level: 5, Restock Threshold: 27
ItemID: 09f690f7e7d245e98473364a16f9ac5518587a111df7248baeb32061ee0cb81f, Warehouse: HAMBURG I, Current Stock Level: 4, Restock Threshold: 39
